Fecha,Nombre,Precio actual,Cambio diario,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
20-07-2025 12:42:27,Apple Inc. (AAPL),"211,18","+1,16 ((+0,55%))","210,02","210,76","200,42 x 100","221,55 x 100","209,70 - 211,79","169,21 - 260,10",48.317.144,53.153.770,"3,154B","1,21","32,89","6,42",31 jul 2025,"1,04 (0,51%)",12 may 2025,"228,60"
20-07-2025 12:42:27,"Tesla, Inc. (TSLA)","329,65","+10,24 ((+3,21%))","319,41","322,00","312,70 x 100","345,01 x 100","321,42 - 330,90","182,00 - 488,54",93.624.355,110.997.140,"1,062B","2,46","188,37","1,75",21 jul 2025 - 25 jul 2025,--,--,"306,07"
20-07-2025 12:42:27,"Amazon.com, Inc. (AMZN)","226,13","+2,25 ((+1,00%))","223,88","225,20","225,94 x 200","236,54 x 100","222,98 - 226,35","151,61 - 242,52",37.215.405,43.021.559,"2,401B","1,33","36,77","6,15",31 jul 2025,--,--,"241,82"
20-07-2025 12:42:27,"Netflix, Inc. (0QYI.L)","1.213,68","-57,32 ((-4,51%))","1.271,00","1.252,00",--,--,"1.201,01 - 1.274,17","556,00 - 1.274,17",18.198,10.362,"519,762MM","1,59","0,57","21,13",16 oct 2025,--,--,--
20-07-2025 12:42:27,Spotify Technology S.A. (SPOT),"695,48","-25,43 ((-3,53%))","720,91","713,15","694,71 x 100","695,40 x 200","685,76 - 719,00","290,13 - 785,00",2.148.302,2.088.638,"142,612MM","1,66","106,34","6,54",29 jul 2025,--,--,"710,98"
20-07-2025 12:46:26,Apple Inc. (AAPL),"211,18","+1,16 ((+0,55%))","210,02","210,76","200,42 x 100","221,55 x 100","209,70 - 211,79","169,21 - 260,10",48.317.144,53.153.770,"3,154B","1,21","32,89","6,42",31 jul 2025,"1,04 (0,51%)",12 may 2025,"228,60"
20-07-2025 12:46:26,"Tesla, Inc. (TSLA)","329,65","+10,24 ((+3,21%))","319,41","322,00","312,70 x 100","345,01 x 100","321,42 - 330,90","182,00 - 488,54",93.624.355,110.997.140,"1,062B","2,46","188,37","1,75",21 jul 2025 - 25 jul 2025,--,--,"306,07"
20-07-2025 12:46:26,"Amazon.com, Inc. (AMZN)","226,13","+2,25 ((+1,00%))","223,88","225,20","225,94 x 200","236,54 x 100","222,98 - 226,35","151,61 - 242,52",37.215.405,43.021.559,"2,401B","1,33","36,77","6,15",31 jul 2025,--,--,"241,82"
20-07-2025 12:46:26,"Netflix, Inc. (0QYI.L)","1.213,68","-57,32 ((-4,51%))","1.271,00","1.252,00",--,--,"1.201,01 - 1.274,17","556,00 - 1.274,17",18.198,10.362,"519,762MM","1,59","0,57","21,13",16 oct 2025,--,--,--
20-07-2025 12:46:26,Spotify Technology S.A. (SPOT),"695,48","-25,43 ((-3,53%))","720,91","713,15","694,71 x 100","695,40 x 200","685,76 - 719,00","290,13 - 785,00",2.148.302,2.088.638,"142,612MM","1,66","106,34","6,54",29 jul 2025,--,--,"710,98"
20-07-2025 12:46:58,Apple Inc. (AAPL),"211,18","+1,16 ((+0,55%))","210,02","210,76","200,42 x 100","221,55 x 100","209,70 - 211,79","169,21 - 260,10",48.317.144,53.153.770,"3,154B","1,21","32,89","6,42",31 jul 2025,"1,04 (0,51%)",12 may 2025,"228,60"
20-07-2025 12:46:58,"Tesla, Inc. (TSLA)","329,65","+10,24 ((+3,21%))","319,41","322,00","312,70 x 100","345,01 x 100","321,42 - 330,90","182,00 - 488,54",93.624.355,110.997.140,"1,062B","2,46","188,37","1,75",21 jul 2025 - 25 jul 2025,--,--,"306,07"
20-07-2025 12:46:58,"Amazon.com, Inc. (AMZN)","226,13","+2,25 ((+1,00%))","223,88","225,20","225,94 x 200","236,54 x 100","222,98 - 226,35","151,61 - 242,52",37.215.405,43.021.559,"2,401B","1,33","36,77","6,15",31 jul 2025,--,--,"241,82"
20-07-2025 12:46:58,"Netflix, Inc. (0QYI.L)","1.213,68","-57,32 ((-4,51%))","1.271,00","1.252,00",--,--,"1.201,01 - 1.274,17","556,00 - 1.274,17",18.198,10.362,"519,762MM","1,59","0,57","21,13",16 oct 2025,--,--,--
20-07-2025 12:46:58,Spotify Technology S.A. (SPOT),"695,48","-25,43 ((-3,53%))","720,91","713,15","694,71 x 100","695,40 x 200","685,76 - 719,00","290,13 - 785,00",2.148.302,2.088.638,"142,612MM","1,66","106,34","6,54",29 jul 2025,--,--,"710,98"
20-07-2025 16:18:27,Apple Inc. (AAPL),"211,18","+1,16 ((+0,55%))","210,02","210,76","200,42 x 100","221,55 x 100","209,70 - 211,79","169,21 - 260,10",48.317.144,53.153.770,"3,154B","1,21","32,89","6,42",31 jul 2025,"1,04 (0,51%)",12 may 2025,"228,60"
20-07-2025 16:18:27,"Tesla, Inc. (TSLA)","329,65","+10,24 ((+3,21%))","319,41","322,00","312,70 x 100","345,01 x 100","321,42 - 330,90","182,00 - 488,54",93.624.355,110.997.140,"1,062B","2,46","188,37","1,75",21 jul 2025 - 25 jul 2025,--,--,"306,07"
20-07-2025 16:18:27,"Amazon.com, Inc. (AMZN)","226,13","+2,25 ((+1,00%))","223,88","225,20","225,94 x 200","236,54 x 100","222,98 - 226,35","151,61 - 242,52",37.215.405,43.021.559,"2,401B","1,33","36,77","6,15",31 jul 2025,--,--,"241,82"
20-07-2025 16:18:27,"Netflix, Inc. (0QYI.L)","1.213,68","-57,32 ((-4,51%))","1.271,00","1.252,00",--,--,"1.201,01 - 1.274,17","556,00 - 1.274,17",18.198,10.362,"519,762MM","1,59","0,57","21,13",16 oct 2025,--,--,--
20-07-2025 16:18:27,Spotify Technology S.A. (639.F),"596,00","-23,80 ((-3,84%))","619,80","618,20","594,90 x --","598,00 x --","592,40 - 618,20","268,50 - 670,90",52,74,"128,171MM","1,66","106,43","5,60",29 jul 2025,--,--,--
